top - 16:26:32 up 3 days, 10:14,  1 user,  load average: 0.59, 0.60, 0.44
Tasks: 351 total,   2 running, 278 sleeping,   3 stopped,   0 zombie
%Cpu(s): 33.3 us, 10.0 sy,  0.0 ni, 56.0 id,  0.5 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8082552 total,   133808 free,  4978888 used,  2969856 buff/cache
KiB Swap:  2097148 total,  1581148 free,   516000 used.  2686732 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 5968 root       0 -20       0      0      0 I   0.0  0.0   0:29.60 kworker/u1+
 6046 bhaskar   20   0 1753552 261056  90008 S   0.0  3.2 248:10.92 chrome
 6052 bhaskar   20   0   14716      0      0 S   0.0  0.0   0:00.00 cat
 6053 bhaskar   20   0   14716      0      0 S   0.0  0.0   0:00.00 cat
 6056 bhaskar   20   0  430664   8544   5616 S   0.0  0.1   0:00.09 chrome
 6057 bhaskar   20   0   71236   1296   1292 S   0.0  0.0   0:00.00 nacl_helper
 6060 bhaskar   20   0  430664   5404   2356 S   0.0  0.1   0:03.97 chrome
 6086 bhaskar   20   0 1182552 160748  52876 S   0.0  2.0 259:47.14 chrome
 6143 bhaskar   20   0  448184   7340   6288 S   0.0  0.1   0:00.12 chrome
 6199 bhaskar   20   0  969608 153384  40816 S   0.0  1.9  26:22.27 chrome
 6738 bhaskar   20   0  929564 173932  67888 S   0.0  2.2   8:00.62 chrome
 7469 bhaskar   20   0   11304      0      0 S   0.0  0.0   0:00.01 ssh-agent
 8008 root      20   0       0      0      0 I   0.0  0.0   0:00.04 kworker/7:0
 8414 root      20   0       0      0      0 I   0.0  0.0   0:00.04 kworker/1:0
 8835 uuidd     20   0   35244      8      0 S   0.0  0.0   0:00.00 uuidd
 8845 bhaskar   20   0  359652   1020    848 S   0.0  0.0   0:00.01 gvfsd-http
 8882 bhaskar   20   0  800044  37380  26876 S   0.0  0.5   0:00.86 gnome-term+
 8895 bhaskar   20   0   30076   5164   3244 S   0.0  0.1   0:00.04 bash
 9150 root      20   0       0      0      0 I   0.0  0.0   0:00.04 kworker/2:1
 9205 bhaskar   20   0  152572   6064   4936 S   0.0  0.1   0:00.02 oosplash
 9263 bhaskar   20   0 1768228 303180 155380 S   0.0  3.8   0:05.63 soffice.bin
 9338 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:2
 9490 root      20   0       0      0      0 I   0.0  0.0   0:00.02 kworker/3:0
 9548 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/7:2
 9572 bhaskar   20   0  807700  98712  68708 S   0.0  1.2   0:03.91 chrome
 9639 bhaskar   20   0  823092 117216  72916 S   0.0  1.5   0:03.79 chrome
 9709 bhaskar   20   0    4628   1656   1548 S   0.0  0.0   0:00.00 pycharm.sh
 9828 bhaskar   20   0    5048   1760   1468 S   0.0  0.0   0:00.12 fsnotifier+
 9903 root      20   0       0      0      0 I   0.0  0.0   0:00.95 kworker/5:3
 9906 bhaskar   20   0  797716  96100  68272 S   0.0  1.2   0:02.56 chrome
10060 bhaskar   20   0   30164   5512   3468 S   0.0  0.1   0:00.41 bash
10164 root      20   0       0      0      0 I   0.0  0.0   0:01.63 kworker/4:1
10368 bhaskar   20   0   51320   4124   3328 T   0.0  0.1   0:00.27 top
10369 bhaskar   20   0   21540   1068    972 T   0.0  0.0   0:00.00 grep
10370 bhaskar   20   0   51320   4008   3216 T   0.0  0.0   0:00.10 top
10412 root      20   0       0      0      0 I   0.0  0.0   0:00.31 kworker/0:1
10445 bhaskar   20   0 1518788 668120  69088 S   0.0  8.3  60:43.98 chrome
10553 root      20   0       0      0      0 I   0.0  0.0   0:00.38 kworker/u1+
10595 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/3:2
10597 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/4:2
10767 root      20   0       0      0      0 I   0.0  0.0   0:00.18 kworker/u1+
10905 bhaskar   20   0  822976 111184  69856 S   0.0  1.4   0:04.78 chrome
11008 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/u1+
11071 root      20   0       0      0      0 I   0.0  0.0   0:00.01 kworker/6:0
11094 bhaskar   20   0  444124   3284   2624 S   0.0  0.0   0:00.06 gvfsd-netw+
11116 bhaskar   20   0  381284   1600   1352 S   0.0  0.0   0:00.07 gvfsd-dnssd
11119 bhaskar   20   0  794408 110816  70292 S   0.0  1.4   0:02.35 chrome
11179 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0
11180 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0
11231 bhaskar   20   0  698836  42476  34836 S   0.0  0.5   0:00.08 chrome
11398 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/4:0
11420 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/6:1
11477 bhaskar   20   0   37984  10344   5512 S   0.0  0.1   0:00.06 python
